student_id,name,gender,class,subject,marks,attendance_percentage,study_hours
1099,Hassan Baig,Female,12-B,Computer Science,64.4,79.3,3.6
1119,Kamran Yousaf,Female,12-A,English,45.0,70.7,4.0
1199,Kinza Sheikh,Male,11-B,Mathematics,69.1,81.4,2.7
1183,Danish Rana,Male,11-A,History,53.3,71.0,0.0
1138,Kamran Sheikh,Male,9-B,Mathematics,100.0,96.6,6.6
1021,Noman Shah,Male,11-B,Science,56.9,79.8,2.1
1089,Ahmed Khan,Male,12-B,History,48.6,65.9,0.0
1156,Kinza Sheikh,Female,9-A,Science,68.6,67.0,3.5
1090,Bushra Butt,Male,12-B,Science,49.6,72.3,1.9
1093,Farah Hussain,Female,10-B,Computer Science,93.0,92.0,5.9
1186,Saad Butt,Female,10-B,English,75.4,75.7,4.9
1204,Maria Hussain,Male,11-B,English,43.7,66.7,2.8
1221,Usman Rana,Male,11-B,Science,50.5,54.6,2.0
1100,Javeria Javed,Male,10-A,History,69.5,72.2,3.2
1267,Eman Malik,Female,12-A,Science,52.8,72.0,2.8
1165,Asad Yousaf,Male,10-B,History,65.3,75.5,2.6
1288,Danish Ahmed,Male,9-B,Computer Science,87.3,88.8,4.3
1199,Kinza Sheikh,Male,11-B,History,82.4,81.4,2.7
1171,Junaid Javed,Female,9-A,Science,73.1,97.4,4.5
1238,Tariq Khan,Female,9-A,Science,42.1,54.4,1.4
1288,Danish Ahmed,Male,9-B,English,95.7,88.8,4.3
1023,Eman Abbasi,Female,9-B,Science,58.0,79.9,2.9
1280,Owais Javed,Male,11-A,English,70.9,78.2,5.0
1106,Tariq Butt,Female,9-B,Mathematics,80.4,92.0,3.0
1120,Hassan Hussain,Female,11-A,English,69.8,86.6,1.8
1068,Fatima Mirza,Male,11-A,Mathematics,63.4,75.9,2.6
1230,Ali Malik,Male,12-A,Science,57.8,66.3,1.0
1185,Rabia Malik,Male,12-B,Science,49.0,65.2,0.0
1154,Arham Abbasi,Female,11-A,History,90.3,96.1,4.2
1249,Eman Yousaf,Male,9-A,Science,78.6,83.6,3.0
1264,Bilal Yousaf,Female,12-A,Science,50.0,59.9,1.6
1091,Junaid Qureshi,Male,9-B,English,76.2,83.5,2.9
1189,Maria Farooq,Male,10-B,Science,58.4,76.1,2.5
1143,Arham Ahmed,Female,10-B,History,64.7,80.1,2.4
1019,Rimsha Butt,Male,11-B,Science,69.7,79.7,3.4
1093,Farah Hussain,Female,10-B,English,89.1,92.0,5.9
1270,Mahnoor Abbasi,Female,11-A,History,34.8,61.5,1.8
1245,Bilal Malik,Female,12-A,History,62.9,65.3,1.1
1166,Noman Farooq,Male,10-B,Science,66.9,71.8,1.7
1088,Bilal Baig,Female,12-B,Mathematics,17.9,66.3,0.0
1229,Junaid Javed,Male,9-A,History,66.0,83.5,2.5
1299,Maria Malik,Male,9-B,English,65.2,61.3,
1115,Warda Shah,Female,11-B,History,79.0,74.3,2.9
1022,Javeria Baig,Female,10-B,English,69.9,67.7,2.3
1099,Hassan Baig,Female,12-B,Mathematics,67.1,79.3,3.6
1080,Zainab Malik,Male,12-B,Science,69.6,72.6,3.6
1110,Hamza Abbasi,Female,11-A,Science,32.8,51.1,0.0
1245,Bilal Malik,Female,12-A,Science,42.8,65.3,1.1
